Method,Name,Error,Occurrences
GET,/api/store-events-producer-fn?count=1,"HTTPSConnectionPool(host='latency-store-front-us-apim-004.azure-api.net', port=443): Max retries exceeded with url: /api/store-events-producer-fn?count=1 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f7d4ea1c910>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution'))",3
GET,/api/store-events-producer-fn?count=1,502 Server Error: Bad Gateway for url: https://latency-store-front-us-apim-004.azure-api.net/api/store-events-producer-fn?count=1,2
GET,/api/store-events-producer-fn?count=10,"HTTPSConnectionPool(host='latency-store-front-us-apim-004.azure-api.net', port=443): Max retries exceeded with url: /api/store-events-producer-fn?count=10 (Caused by SSLError(OSError(24, 'Too many open files')))",41
GET,/api/store-events-producer-fn?count=5,"HTTPSConnectionPool(host='latency-store-front-us-apim-004.azure-api.net', port=443): Max retries exceeded with url: /api/store-events-producer-fn?count=5 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f7d459d2650>: Failed to establish a new connection: [Errno 11] Resource temporarily unavailable'))",15
GET,/api/store-events-producer-fn?count=10,"HTTPSConnectionPool(host='latency-store-front-us-apim-004.azure-api.net', port=443): Max retries exceeded with url: /api/store-events-producer-fn?count=10 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f7d4a335660>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution'))",6
GET,/api/store-events-producer-fn?count=7,502 Server Error: Bad Gateway for url: https://latency-store-front-us-apim-004.azure-api.net/api/store-events-producer-fn?count=7,2
GET,/api/store-events-producer-fn?count=6,502 Server Error: Bad Gateway for url: https://latency-store-front-us-apim-004.azure-api.net/api/store-events-producer-fn?count=6,1
GET,/api/store-events-producer-fn?count=2,"HTTPSConnectionPool(host='latency-store-front-us-apim-004.azure-api.net', port=443): Max retries exceeded with url: /api/store-events-producer-fn?count=2 (Caused by SSLError(OSError(24, 'Too many open files')))",32
GET,/api/store-events-producer-fn?count=2,"HTTPSConnectionPool(host='latency-store-front-us-apim-004.azure-api.net', port=443): Max retries exceeded with url: /api/store-events-producer-fn?count=2 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f7d459d0f10>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution'))",7
GET,/api/store-events-producer-fn?count=8,"HTTPSConnectionPool(host='latency-store-front-us-apim-004.azure-api.net', port=443): Max retries exceeded with url: /api/store-events-producer-fn?count=8 (Caused by SSLError(OSError(24, 'Too many open files')))",30
GET,/api/store-events-producer-fn?count=2,"HTTPSConnectionPool(host='latency-store-front-us-apim-004.azure-api.net', port=443): Max retries exceeded with url: /api/store-events-producer-fn?count=2 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f7d7d5f5cc0>: Failed to establish a new connection: [Errno 24] Too many open files'))",73216
GET,/api/store-events-producer-fn?count=6,"HTTPSConnectionPool(host='latency-store-front-us-apim-004.azure-api.net', port=443): Max retries exceeded with url: /api/store-events-producer-fn?count=6 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f7d7d5c1330>: Failed to establish a new connection: [Errno 24] Too many open files'))",73218
GET,/api/store-events-producer-fn?count=3,"HTTPSConnectionPool(host='latency-store-front-us-apim-004.azure-api.net', port=443): Max retries exceeded with url: /api/store-events-producer-fn?count=3 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f7d7d5770d0>: Failed to establish a new connection: [Errno 24] Too many open files'))",72965
GET,/api/store-events-producer-fn?count=5,"HTTPSConnectionPool(host='latency-store-front-us-apim-004.azure-api.net', port=443): Max retries exceeded with url: /api/store-events-producer-fn?count=5 (Caused by SSLError(OSError(24, 'Too many open files')))",37
GET,/api/store-events-producer-fn?count=3,502 Server Error: Bad Gateway for url: https://latency-store-front-us-apim-004.azure-api.net/api/store-events-producer-fn?count=3,1
GET,/api/store-events-producer-fn?count=5,"HTTPSConnectionPool(host='latency-store-front-us-apim-004.azure-api.net', port=443): Max retries exceeded with url: /api/store-events-producer-fn?count=5 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f7d7d5f4520>: Failed to establish a new connection: [Errno 24] Too many open files'))",73204
